                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 2.6406,                 3.6679,                 2.2157,                0.00017,                0.05263,                0.00013,                  6e-05,                 3.3111,                 4.9778,                 3.1467,              0.0090793,              0.0090793,              0.0090793
                     95,                 2.8309,                  3.674,                 2.3721,                0.00025,                0.07895,                0.00017,                  2e-05,                 3.4397,                 6.0253,                  3.205,              0.0090694,              0.0090694,              0.0090694
                     96,                 2.7227,                 3.7572,                 2.4799,                0.00025,                0.07895,                0.00015,                  1e-05,                 3.6071,                 5.6151,                 3.4527,              0.0090595,              0.0090595,              0.0090595
                     97,                 2.9799,                 3.8339,                 2.4546,                  8e-05,                0.02632,                  5e-05,                  1e-05,                 3.7575,                 6.2773,                 3.6071,              0.0090496,              0.0090496,              0.0090496
                     98,                 2.8202,                 3.9372,                  2.329,                  9e-05,                0.02632,                  5e-05,                  2e-05,                 3.6654,                 5.8456,                 3.4114,              0.0090397,              0.0090397,              0.0090397
                     99,                 2.6594,                 3.4761,                 2.2928,                0.00026,                0.07895,                0.00017,                  5e-05,                 3.6043,                 5.2413,                 3.2762,              0.0090298,              0.0090298,              0.0090298
                    100,                 2.8153,                  3.625,                 2.3625,                0.00037,                0.10526,                0.00029,                  8e-05,                 3.4906,                 4.8812,                 3.3013,              0.0090199,              0.0090199,              0.0090199
                    101,                 2.5845,                 3.3895,                 2.2186,                0.00035,                0.10526,                0.00025,                  5e-05,                 3.3174,                 4.9925,                 3.1319,                0.00901,                0.00901,                0.00901
                    102,                 2.7621,                 3.7119,                 2.4074,                0.00035,                0.10526,                0.00025,                  5e-05,                  3.218,                 5.0992,                 2.9581,              0.0090001,              0.0090001,              0.0090001
                    103,                 2.6891,                 3.8788,                 2.2885,                0.00028,                0.07895,                0.00019,                  2e-05,                 3.3303,                 5.0081,                 3.0164,              0.0089902,              0.0089902,              0.0089902
                    104,                 2.5265,                   3.67,                 2.3043,                0.00027,                0.07895,                0.00022,                  6e-05,                 3.3861,                 5.0934,                 3.1164,              0.0089803,              0.0089803,              0.0089803
                    105,                 2.7991,                 3.5346,                 2.4495,                0.00018,                0.05263,                0.00021,                  6e-05,                 3.4995,                 5.1506,                 3.2119,              0.0089704,              0.0089704,              0.0089704
                    106,                 2.7779,                 3.7661,                 2.4059,                0.00019,                0.05263,                0.00027,                0.00012,                 3.4768,                 5.0138,                  3.205,              0.0089605,              0.0089605,              0.0089605
                    107,                 2.7939,                 3.3828,                 2.3573,                0.00035,                0.10526,                0.00033,                  9e-05,                 3.6447,                 4.9973,                 3.3875,              0.0089506,              0.0089506,              0.0089506
                    108,                  2.539,                 3.2039,                 2.1587,                0.50099,                0.02632,                0.00072,                0.00023,                 3.5819,                 5.0327,                 3.3024,              0.0089407,              0.0089407,              0.0089407
                    109,                 2.4926,                 3.2892,                 2.2312,                0.50332,                0.02632,                0.00163,                0.00047,                 3.6426,                 4.9443,                 3.3381,              0.0089308,              0.0089308,              0.0089308
                    110,                 2.6749,                  3.672,                 2.2786,                0.50221,                0.02632,                0.00079,                0.00027,                 3.7275,                 5.0968,                 3.4391,              0.0089209,              0.0089209,              0.0089209
                    111,                  2.742,                 3.3448,                  2.282,                0.00018,                0.05263,                0.00034,                0.00011,                 3.6108,                 5.2649,                 3.4403,               0.008911,               0.008911,               0.008911
                    112,                  2.579,                  3.275,                 2.2368,                0.00135,                0.02632,                 0.0005,                0.00019,                 3.6657,                  5.301,                 3.3912,              0.0089011,              0.0089011,              0.0089011
                    113,                 2.5069,                 3.1494,                 2.1581,                0.51707,                0.02632,                0.00157,                0.00058,                 3.5479,                 5.6479,                 3.2749,              0.0088912,              0.0088912,              0.0088912
                    114,                 2.5076,                 3.4834,                 2.1892,                0.53141,                0.02632,                0.00287,                0.00102,                  3.531,                 5.6053,                 3.1808,              0.0088813,              0.0088813,              0.0088813
                    115,                  2.685,                 3.5633,                 2.2961,                0.53596,                0.02632,                0.00356,                0.00055,                 3.3388,                 5.4532,                 3.0715,              0.0088714,              0.0088714,              0.0088714
                    116,                 2.4497,                 3.3514,                 2.0854,                0.50665,                0.02632,                0.00079,                0.00034,                 3.3647,                 5.5175,                 3.0651,              0.0088615,              0.0088615,              0.0088615
                    117,                 2.5919,                 3.5827,                 2.2247,                0.51469,                0.02632,                0.00194,                0.00065,                 3.3601,                 4.6162,                 3.2305,              0.0088516,              0.0088516,              0.0088516
                    118,                 2.5429,                 3.3315,                 2.2262,                0.52289,                0.02632,                0.00171,                0.00056,                  3.362,                 4.9816,                 3.1112,              0.0088417,              0.0088417,              0.0088417
                    119,                 2.5347,                 3.6322,                 2.1573,                0.50768,                0.02632,                 0.0014,                0.00029,                 3.4731,                 4.9907,                 3.2311,              0.0088318,              0.0088318,              0.0088318
                    120,                 2.5645,                 3.1566,                 2.1548,                0.50061,                0.02632,                0.00051,                0.00015,                 3.5425,                 5.1183,                 3.3976,              0.0088219,              0.0088219,              0.0088219
                    121,                 2.5412,                 3.4393,                  2.202,                0.00033,                0.02632,                0.00092,                0.00028,                 3.5603,                 5.1246,                 3.3507,               0.008812,               0.008812,               0.008812
                    122,                 2.6646,                 3.2456,                 2.2367,                 0.0002,                0.05263,                0.00037,                0.00012,                 3.5963,                 5.0823,                 3.5087,              0.0088021,              0.0088021,              0.0088021
                    123,                 2.5594,                 3.3164,                  2.254,                0.00021,                0.05263,                0.00013,                  1e-05,                 3.9536,                 5.2334,                 3.8226,              0.0087922,              0.0087922,              0.0087922
                    124,                 2.4663,                  3.336,                 2.1261,                0.00011,                0.02632,                0.00028,                  6e-05,                 3.5267,                 5.1272,                 3.5091,              0.0087823,              0.0087823,              0.0087823
                    125,                 2.4709,                 3.2593,                 2.1078,                0.00028,                0.07895,                0.00036,                  7e-05,                 3.4927,                 4.9634,                 3.4542,              0.0087724,              0.0087724,              0.0087724
                    126,                 2.4421,                 3.3762,                 2.1512,                0.00035,                0.10526,                0.00026,                  7e-05,                  3.565,                 5.7148,                 3.4114,              0.0087625,              0.0087625,              0.0087625
                    127,                 2.3541,                 3.1245,                 2.1964,                0.00027,                0.07895,                0.00017,                  8e-05,                 3.7643,                 5.6435,                 3.5352,              0.0087526,              0.0087526,              0.0087526
                    128,                  2.434,                  3.503,                 2.2334,                0.00027,                0.07895,                0.00031,                  8e-05,                 3.7429,                 5.9335,                 3.4867,              0.0087427,              0.0087427,              0.0087427
